"","Con1","Con2","Con3","Ko1","Ko2","Ko3"
"ENSMUSG00000100617",0,0,0,0,0,0
"ENSMUSG00000100177",0,0,0,0,0,0
"ENSMUSG00000101363",0,0,0,0,0,0
"ENSMUSG00000101590",0,0,0,0,0,0
"ENSMUSG00000102030",0,4,40,0,4,8
"ENSMUSG00000099870",0,0,0,0,0,0
"ENSMUSG00000026374",1049,4610,13924,922,4420,6065
"ENSMUSG00000026377",566,2352,6510,386,2280,3228
"ENSMUSG00000099936",0,0,0,0,0,0
"ENSMUSG00000025911",10,89,219,26,76,49
"ENSMUSG00000081441",280,1222,2928,158,915,1340
"ENSMUSG00000067879",0,0,0,0,0,0
"ENSMUSG00000099827",0,0,0,0,0,0
"ENSMUSG00000057335",380,1370,4771,374,2083,3930
"ENSMUSG00000103634",0,0,0,0,0,0
"ENSMUSG00000104154",0,0,2,0,0,0
"ENSMUSG00000103435",0,0,0,0,0,0
"ENSMUSG00000065573",0,0,0,0,0,0
"ENSMUSG00002076271",0,0,0,0,0,0
"ENSMUSG00000100551",0,0,8,0,0,0
"ENSMUSG00000100357",0,0,0,0,8,2
"ENSMUSG00000025912",8,60,130,12,76,66
"ENSMUSG00000045210",456,1715,5284,324,2001,3517
"ENSMUSG00000041763",528,2688,7037,422,2650,4178
"ENSMUSG00000026504",390,1794,4663,319,1523,2066
"ENSMUSG00000103367",0,0,0,0,0,0
"ENSMUSG00000103584",0,0,0,0,0,0
"ENSMUSG00002076339",0,0,0,0,0,0
"ENSMUSG00000102475",0,0,0,0,0,0
"ENSMUSG00000047343",4,0,2,0,0,0
"ENSMUSG00000102211",1,7,4,6,0,2
"ENSMUSG00000087082",0,2,34,0,6,10
"ENSMUSG00000090106",0,0,0,0,0,0
"ENSMUSG00000103251",0,0,4,0,0,10
"ENSMUSG00000091844",10,2,8,0,8,0
"ENSMUSG00000026483",472,1974,6963,360,2846,4115
"ENSMUSG00000082528",0,0,0,0,0,0
"ENSMUSG00000082012",0,0,0,0,0,0
"ENSMUSG00000099996",0,0,0,0,0,0
"ENSMUSG00000101763",0,0,0,0,0,0
"ENSMUSG00000100827",0,0,0,0,0,0
"ENSMUSG00000100553",0,0,0,0,0,0
"ENSMUSG00000098611",0,0,0,0,0,0
"ENSMUSG00000100534",0,0,0,0,0,2
"ENSMUSG00000102904",0,0,0,0,0,0
"ENSMUSG00002076350",0,0,0,0,0,0
"ENSMUSG00000019699",631,2260,7973,689,3182,5667
"ENSMUSG00000104391",0,0,0,0,0,0
"ENSMUSG00000102133",0,0,0,0,0,0
"ENSMUSG00000102749",0,0,0,0,1,0
"ENSMUSG00000103163",0,0,0,0,0,0
"ENSMUSG00000103646",2,0,28,0,0,2
"ENSMUSG00000102427",0,0,0,0,0,0
"ENSMUSG00000103633",0,0,0,0,0,0
"ENSMUSG00000097892",0,0,38,0,0,5
"ENSMUSG00000063659",378,1570,5335,338,1668,2405
"ENSMUSG00000102432",0,0,4,0,8,0
"ENSMUSG00000103043",0,0,0,0,0,0
"ENSMUSG00000102885",0,0,0,0,0,0
"ENSMUSG00000026049",203,975,2433,184,798,768
"ENSMUSG00000103767",0,0,0,0,0,0
"ENSMUSG00000043019",1013,3795,13231,789,4091,8714
"ENSMUSG00000101104",0,0,0,0,0,0
"ENSMUSG00000015962",0,6,14,0,0,20
"ENSMUSG00000032666",68,344,1227,62,364,565
"ENSMUSG00000084557",0,0,0,0,0,0
"ENSMUSG00000100685",0,0,0,0,0,0
"ENSMUSG00000102090",0,0,0,0,0,0
"ENSMUSG00000103744",0,0,0,0,0,0
"ENSMUSG00000015961",552,2875,6104,572,3210,4138
"ENSMUSG00000089657",0,0,0,0,0,0
"ENSMUSG00000102483",0,1,11,0,3,9
"ENSMUSG00000014980",230,1190,2613,154,710,1010
"ENSMUSG00000026235",24,8,48,6,26,44
"ENSMUSG00000099141",0,0,0,0,0,0
"ENSMUSG00000032649",54,379,1115,36,286,520
"ENSMUSG00000101849",0,0,0,0,0,0
"ENSMUSG00000101506",0,0,0,0,0,0
"ENSMUSG00000065215",0,0,0,0,0,0
"ENSMUSG00000102052",0,0,0,0,0,0
"ENSMUSG00000026047",104,586,1122,86,321,447
"ENSMUSG00000080878",0,0,0,0,0,0
"ENSMUSG00000091476",16,53,397,17,103,230
"ENSMUSG00000104097",0,32,70,6,29,28
"ENSMUSG00000119789",0,0,0,0,0,0
"ENSMUSG00000102493",2,40,68,0,14,37
"ENSMUSG00000004872",0,0,0,0,0,0
"ENSMUSG00000118426",1,0,10,0,12,4
"ENSMUSG00000041684",160,1003,2719,192,831,1308
"ENSMUSG00000032908",432,2098,6647,413,1993,4119
"ENSMUSG00000099561",0,0,8,0,0,0
"ENSMUSG00000102945",0,0,0,0,0,0
"ENSMUSG00000026502",442,1766,5237,405,2036,2609
"ENSMUSG00000103958",0,0,0,0,0,0
"ENSMUSG00000070489",0,0,8,0,2,6
"ENSMUSG00000104126",0,18,35,2,5,8
"ENSMUSG00000026500",2,23,84,2,5,37
"ENSMUSG00000026048",384,1278,3768,202,1376,1673
"ENSMUSG00000046828",10,0,8,0,20,0
"ENSMUSG00000089703",0,0,0,0,0,0
"ENSMUSG00000100966",0,0,0,0,0,0
"ENSMUSG00000100769",0,0,0,0,0,0
"ENSMUSG00000101567",0,2,4,2,0,0
"ENSMUSG00000026245",982,4822,12926,788,4086,5528
"ENSMUSG00000101798",0,0,1,0,0,0
"ENSMUSG00000104018",2,2,6,0,2,2
"ENSMUSG00000090486",0,0,0,0,0,0
"ENSMUSG00000026482",233,1519,4588,378,1488,2209
"ENSMUSG00000086145",0,0,0,0,0,0
"ENSMUSG00000080950",6,12,62,0,9,8
"ENSMUSG00000099868",0,0,0,0,0,0
"ENSMUSG00000055547",0,14,52,0,14,6
"ENSMUSG00000012187",2,0,0,2,2,0
"ENSMUSG00000008475",2788,13457,36028,2470,13602,16281
"ENSMUSG00000099364",0,0,18,0,0,0
"ENSMUSG00000100562",0,0,0,0,0,0
"ENSMUSG00000056870",12,42,80,8,16,40
"ENSMUSG00000102319",0,0,0,0,0,0
"ENSMUSG00000089877",0,0,0,0,0,0
"ENSMUSG00000101701",0,0,0,0,0,0
"ENSMUSG00000103071",0,0,0,0,0,0
"ENSMUSG00000100434",0,0,0,0,0,0
"ENSMUSG00000100013",0,0,0,0,0,0
"ENSMUSG00000101251",0,0,0,0,0,0
"ENSMUSG00000101937",0,0,0,0,0,0
"ENSMUSG00000039630",4428,17197,49027,3521,20479,27807
"ENSMUSG00000104279",28,156,312,40,109,133
"ENSMUSG00002075531",0,0,0,0,0,0
"ENSMUSG00000064954",0,0,0,0,0,0
"ENSMUSG00000026495",81,472,1208,84,466,632
"ENSMUSG00000032883",158,703,1934,101,822,1220
"ENSMUSG00000026480",16,150,428,40,198,120
"ENSMUSG00000026494",6,80,56,11,27,19
"ENSMUSG00000064967",0,0,0,0,0,0
"ENSMUSG00000102922",0,0,0,0,0,0
"ENSMUSG00000025915",156,811,2692,203,1092,1748
"ENSMUSG00000089713",0,0,0,0,0,0
